NAME,ADDRESS,LATITUDE,LONGITUDE
LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,150 VIA MERIDA,34.1549388720001,-118.815736391
EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BOULEVARD,34.023647302,-118.184164805
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVENUE,34.0963913570001,-118.325234871
KINDRED HOSPITAL BALDWIN PARK,14148 FRANCISQUITO AVENUE,34.063038932,-117.967437788
LAKEWOOD REGIONAL MEDICAL CENTER,3700 EAST SOUTH STREET,33.8597066200001,-118.148402965
MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,34.1487586590001,-117.992667657
MONTEREY PARK HOSPITAL,900 SOUTH ATLANTIC BOULEVARD,34.0494660590001,-118.138262231
STAR VIEW ADOLESCENT - P H F,4025 WEST 226 STREET,33.823914464,-118.356096947
CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,730 MAGNOLIA AVENUE,33.8580833070001,-117.553858035
MODOC MEDICAL CENTER,228 W MCDOWELL AVE,41.4800562550001,-120.545743987
SALINAS VALLEY MEMORIAL HOSPITAL,450 EAST ROMIE LANE,36.659030456000004,-121.645983804
HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,393 S. TUSTIN STREET,33.7827271730001,-117.833891865
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TUSTIN,14851 YORBA STREET,33.7474607400001,-117.831055631
KINDRED HOSPITAL BREA,875 NORTH BREA BOULEVARD,33.934495886,-117.893948792
KINDRED HOSPITAL WESTMINSTER,200 HOSPITAL CIRCLE,33.7635332090001,-117.995255963
KAWEAH DELTA MENTAL HEALTH HOSPITAL,1100 SO. AKERS STREET,36.320843946,-119.348234528
CHARLTON MEMORIAL HOSPITAL,2449 THIRD STREET,30.845275348,-82.005057392
DAUTERIVE HOSPITAL,600 N LEWIS AVE.,30.006906977,-91.794523853
